#      x         y         z      atomnum  distance    energy 
      0.00      0.00    -20.00      1.00      0.00     -5.38 
      0.00      0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.00      3.00      4.00     -5.83 
      0.00      0.00    -14.00      4.00      6.00     -7.76 
      0.00      0.00    -12.00      5.00      8.00     -9.60 
      0.00      0.00    -10.00      6.00     10.00    -11.01 
      0.00      0.00     -8.00      7.00     12.00    -10.44 
      0.00      0.00     -6.00      8.00     14.00    -10.65 
      0.00      0.00     -4.00      9.00     16.00    -11.47 
      0.00      0.00     -2.00     10.00     18.00     -9.94 
      0.00      0.00      0.00     11.00     20.00     -7.98 
      0.00      0.00      2.00     12.00     22.00     -7.24 
      0.00      0.00      4.00     13.00     24.00     -8.85 
      0.00      0.00      6.00     14.00     26.00    -10.27 
      0.00      0.00      8.00     15.00     28.00     -9.98 
      0.00      0.00     10.00     16.00     30.00     -9.57 
      0.00      0.00     12.00     17.00     32.00     -9.68 
      0.00      0.00     14.00     18.00     34.00     -8.30 
      0.00      0.00     16.00     19.00     36.00     -7.33 
      0.00      0.00     18.00     20.00     38.00     -7.16 
      0.00      0.00     20.00     21.00     40.00     -5.89 
      0.00      0.00     22.00     22.00     42.00     -5.96 
      0.00      0.00     24.00     23.00     44.00     -5.52 
      0.00      0.00     26.00     24.00     46.00     -4.55 
      0.00      0.00     28.00     25.00     48.00     -4.23 
      0.00      0.00     30.00     26.00     50.00     -3.97 
      0.00      0.00     32.00     27.00     52.00     -2.54 
      0.00      0.00     34.00     28.00     54.00     -2.59 
      0.00      0.00     36.00     29.00     56.00     -2.75 
      0.00      0.00     38.00     30.00     58.00     -3.52 
      0.00      0.00     40.00     31.00     60.00     -5.09 
      0.00      0.00     42.00     32.00     62.00     -7.25 
      0.00      0.00     44.00     33.00     64.00     -9.48 
      0.00      0.00     46.00     34.00     66.00    -11.17 
      0.00      0.00     48.00     35.00     68.00    -12.43 
      0.00      0.00     50.00     36.00     68.00    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.00      3.00      4.00     -5.83 
     -0.00     -0.00    -14.00      4.00      6.00     -7.76 
     -0.00     -0.00    -12.00      5.00      8.00     -9.59 
     -0.00     -0.00    -10.00      6.00     10.00    -11.01 
      0.00     -0.00     -8.00      7.00     12.00    -10.44 
      0.00      0.00     -6.00      8.00     14.00    -10.65 
     -0.00      0.00     -4.00      9.00     16.00    -11.47 
     -0.00     -0.00     -2.00     10.00     18.00     -9.94 
      0.00     -0.00      0.00     11.00     20.00     -7.98 
     -0.00     -0.00      2.00     12.00     22.00     -7.24 
     -0.00     -0.00      4.00     13.00     24.00     -8.85 
     -0.00     -0.00      6.00     14.00     26.00    -10.27 
     -0.00      0.00      8.00     15.00     28.00     -9.98 
     -0.00      0.00     10.00     16.00     30.00     -9.57 
     -0.00     -0.00     12.00     17.00     32.00     -9.68 
      0.00      0.00     14.00     18.00     34.00     -8.30 
     -0.00      0.00     16.00     19.00     36.00     -7.33 
     -0.00      0.00     18.00     20.00     38.00     -7.16 
     -0.00      0.00     20.00     21.00     40.00     -5.89 
     -0.00      0.00     22.00     22.00     42.00     -5.96 
     -0.00      0.00     24.00     23.00     44.00     -5.52 
     -0.00      0.00     26.00     24.00     46.00     -4.55 
     -0.00      0.00     28.00     25.00     48.00     -4.23 
     -0.00      0.00     30.00     26.00     50.00     -3.97 
     -0.00      0.00     32.00     27.00     52.00     -2.54 
     -0.00      0.00     34.00     28.00     54.00     -2.59 
     -0.00      0.00     36.00     29.00     56.00     -2.75 
     -0.00      0.00     38.00     30.00     58.00     -3.52 
     -0.00      0.00     40.00     31.00     60.00     -5.09 
     -0.00      0.00     42.00     32.00     62.00     -7.25 
     -0.00      0.00     44.00     33.00     64.00     -9.48 
     -0.00      0.00     46.00     34.00     66.00    -11.17 
     -0.00      0.00     48.00     35.00     68.00    -12.43 
      0.00      0.00     50.00     36.00     68.00    -12.82 
&
      0.00      0.00    -20.00      1.00      0.00     -5.38 
     -0.00     -0.00    -18.00      2.00      2.00     -5.07 
      0.00      0.00    -16.00      3.00      4.00     -5.82 
